"Name","Location","Website","Bolt","Note"
"Haydon Bolts Inc","Philadelphia, PA","http://www.haydonbolts.com/","mfg-haydon",
"LeJeune Bolt Co.","Lakeville, MN","http://www.lejeunebolt.com/","mfg-lejeune",
"Nucor Fasteners","St. Joe, IN","http://www.nucor-fastener.com/","mfg-nucor-a",
"Nucor Fasteners","St. Joe, IN","http://www.nucor-fastener.com/","mfg-nucor-b",
"Portland Bolt Co.","Portland, OR","http://www.portlandbolt.com/","mfg-portland",
"St. Louis Screw & Bolt Co.","St. Louis, MO","http://www.stlouisscrewbolt.com/","mfg-stlouis-a",
"St. Louis Screw & Bolt Co.","St. Louis, MO","http://www.stlouisscrewbolt.com/","mfg-stlouis-b",
"St. Louis Screw & Bolt Co.","St. Louis, MO","http://www.stlouisscrewbolt.com/","mfg-stlouis-c",
"St. Louis Screw & Bolt Co.","St. Louis, MO","http://www.stlouisscrewbolt.com/","mfg-stlouis-d",
"St. Louis Screw & Bolt Co.","St. Louis, MO","http://www.stlouisscrewbolt.com/","mfg-stlouis-lakeerie","Produced by Lake Erie Screw Corp for St. Louis Screw & Bolt"
"Unytite, Inc.","Peru, IL","http://www.unytiteusa.com/","mfg-unytite-a",
"Unytite, Inc.","Peru, IL","http://www.unytiteusa.com/","mfg-unytite-b",
